ID	Taxonomy	ITS-Behnsen-MY-1	ITS-Behnsen-MY-10	ITS-Behnsen-MY-11	ITS-Behnsen-MY-12	ITS-Behnsen-MY-13	ITS-Behnsen-MY-14	ITS-Behnsen-MY-15	ITS-Behnsen-MY-16	ITS-Behnsen-MY-17	ITS-Behnsen-MY-18	ITS-Behnsen-MY-19	ITS-Behnsen-MY-2	ITS-Behnsen-MY-20	ITS-Behnsen-MY-21	ITS-Behnsen-MY-22	ITS-Behnsen-MY-23	ITS-Behnsen-MY-24	ITS-Behnsen-MY-25	ITS-Behnsen-MY-26	ITS-Behnsen-MY-27	ITS-Behnsen-MY-28	ITS-Behnsen-MY-29	ITS-Behnsen-MY-3	ITS-Behnsen-MY-30	ITS-Behnsen-MY-31	ITS-Behnsen-MY-32	ITS-Behnsen-MY-33	ITS-Behnsen-MY-34	ITS-Behnsen-MY-35	ITS-Behnsen-MY-36	ITS-Behnsen-MY-37	ITS-Behnsen-MY-38	ITS-Behnsen-MY-39	ITS-Behnsen-MY-4	ITS-Behnsen-MY-40	ITS-Behnsen-MY-41	ITS-Behnsen-MY-42	ITS-Behnsen-MY-43	ITS-Behnsen-MY-44	ITS-Behnsen-MY-45	ITS-Behnsen-MY-46	ITS-Behnsen-MY-47	ITS-Behnsen-MY-48	ITS-Behnsen-MY-49	ITS-Behnsen-MY-5	ITS-Behnsen-MY-50	ITS-Behnsen-MY-51	ITS-Behnsen-MY-52	ITS-Behnsen-MY-53	ITS-Behnsen-MY-54	ITS-Behnsen-MY-55	ITS-Behnsen-MY-56	ITS-Behnsen-MY-57	ITS-Behnsen-MY-58	ITS-Behnsen-MY-59	ITS-Behnsen-MY-6	ITS-Behnsen-MY-60	ITS-Behnsen-MY-61	ITS-Behnsen-MY-62	ITS-Behnsen-MY-63	ITS-Behnsen-MY-64	ITS-Behnsen-MY-65	ITS-Behnsen-MY-66	ITS-Behnsen-MY-67	ITS-Behnsen-MY-68	ITS-Behnsen-MY-69	ITS-Behnsen-MY-7	ITS-Behnsen-MY-8	ITS-Behnsen-MY-9	ITS-Negative-Control-sample2	ITS-Negative-Ctrl-2-Underhill	ITS-Positive-Ctrl-2-Underhill
ASV 11	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	3	194	1	4299	1100	0	3905	2	128	33	0	124	8	1	1834	1131	2039	3486	0	361	3247	51	1	0	34	3771	5	0	0	72	0	0	109	0	123	2002	36	2958	4	59	2	461	577	378	3744	361	1594	1861	1261	1	1	2458	1165	2516	112	759	41	348	2700	1	1002	0	0	309	4	1	0	350	0	0	0
ASV 12	k__Fungi ; p__Ascomycota ; c__Sordariomycetes ; o__Diaporthales ; f__Diaporthaceae ; g__Stenocarpella ; s__maydis	855	1	0	1	0	1	0	0	4040	1360	13906	0	234	5	1	4	3	1448	1	2	1	1	0	4	7	1	0	4	10056	2765	880	1289	3457	0	1	0	1	0	0	0	0	1	0	1	117	0	0	0	0	2	1	1	0	0	0	5906	0	0	0	0	0	0	0	0	0	0	222	528	343	0	0	0
ASV 13	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Aspergillaceae ; g__Aspergillus ; s__intermedius	1118	2233	3642	1	2	1	2	1	2253	1885	1942	2234	6067	1956	0	3	2	2	0	2	3	3	1024	0	1	3	0	0	1	0	671	2	884	923	0	0	1594	1	1	0	1	1	2	601	1873	0	1	0	0	0	0	0	0	0	0	1565	0	0	0	0	0	0	1	0	525	0	4283	2628	3383	0	0	0
ASV 14	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Aspergillaceae ; g__Penicillium ; s__aurantiogriseum	1410	3413	654	1	0	3	1	0	367	388	626	1032	395	277	0	0	0	0	0	0	1	0	738	1	0	0	1	1	666	1323	1002	642	3	2102	1	150	1	0	1	0	1	0	1423	572	1089	0	0	0	3671	0	0	0	0	0	0	1780	0	0	0	0	0	0	1777	1559	1582	1	1001	9043	1451	0	0	0
ASV 15	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Aspergillaceae ; g__Aspergillus ; s__flavus	305	22	3	1	0	2	0	0	10423	1484	2631	1212	4328	9931	1	2	1	0	0	0	1	2	121	3	0	1	1	2	651	1416	2275	0	0	712	0	2	1	0	0	3	0	0	0	12	361	0	0	0	0	0	0	1	0	0	0	1061	0	0	0	0	0	0	0	0	900	0	649	6	1023	0	0	0
ASV 16	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Aspergillaceae ; g__Penicillium ; s__aurantiogriseum	3363	1303	752	0	5	2	3	0	902	738	465	3506	526	240	0	1	0	0	1	1	3	2	1182	2	0	0	0	0	1509	751	127	445	385	3199	0	111	1	0	1	0	1	1	2462	1348	1217	4	5	0	2516	0	0	0	0	0	0	1195	1	0	0	0	0	0	2	2	64	0	1701	3183	2107	0	0	0
ASV 17	k__Fungi ; p__Ascomycota ; c__Sordariomycetes ; o__Microascales ; f__Microascaceae ; g__Microascus ; s__brevicaulis	0	2	1	1	2	0	1	0	1925	2940	1851	200	3623	1550	2	0	0	1	0	1	0	0	2498	0	1	0	0	0	0	0	0	0	0	91	0	0	0	0	2	0	0	0	0	397	0	0	0	0	31	0	0	2	0	0	0	517	0	0	0	0	0	0	0	1534	385	0	255	16562	373	0	0	0
ASV 18	k__Fungi ; p__Basidiomycota ; c__Tremellomycetes ; o__Tremellales ; f__Bulleribasidiaceae ; g__Vishniacozyma ; s__victoriae	3180	24	473	0	1	0	0	0	0	10856	839	2186	318	1	0	0	1	0	0	3	1	2	1476	3	0	0	0	1	4	2837	598	591	893	1451	0	50	2	0	3	0	1	2	737	1727	1084	1	1	0	1164	0	0	0	0	0	1144	1322	0	0	0	0	0	0	1227	0	0	0	0	500	10	0	0	0
ASV 19	k__Fungi ; p__Basidiomycota ; c__Ustilaginomycetes ; o__Ustilaginales ; f__Ustilaginaceae ; g__Ustilago ; s__hordei	5236	527	163	3	1	0	1	2	147	169	218	3307	0	1	0	0	0	1	1	1	0	2	2929	1	0	0	0	0	0	0	2	0	1	4008	0	40	3	0	1	0	1	1	3305	3189	3447	0	1406	0	1301	0	0	0	0	0	0	3685	0	0	2	0	0	0	0	0	0	0	212	0	73	0	0	0
ASV 20	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Aspergillaceae ; g__Aspergillus ; s__versicolor	2151	1172	16	1	0	0	0	0	966	1	174	2480	482	450	1	0	1	1	0	0	0	2	544	4	1	3	0	1	7995	4023	2296	563	2	636	4	2	0	0	3	1	0	0	1408	0	4239	0	1	0	0	0	0	0	0	0	0	611	2	0	0	0	0	0	0	0	1929	0	289	392	455	0	0	0
