ID	Taxonomy	ITS-Behnsen-MY-1	ITS-Behnsen-MY-10	ITS-Behnsen-MY-11	ITS-Behnsen-MY-12	ITS-Behnsen-MY-13	ITS-Behnsen-MY-14	ITS-Behnsen-MY-15	ITS-Behnsen-MY-16	ITS-Behnsen-MY-17	ITS-Behnsen-MY-18	ITS-Behnsen-MY-19	ITS-Behnsen-MY-2	ITS-Behnsen-MY-20	ITS-Behnsen-MY-21	ITS-Behnsen-MY-22	ITS-Behnsen-MY-23	ITS-Behnsen-MY-24	ITS-Behnsen-MY-25	ITS-Behnsen-MY-26	ITS-Behnsen-MY-27	ITS-Behnsen-MY-28	ITS-Behnsen-MY-29	ITS-Behnsen-MY-3	ITS-Behnsen-MY-30	ITS-Behnsen-MY-31	ITS-Behnsen-MY-32	ITS-Behnsen-MY-33	ITS-Behnsen-MY-34	ITS-Behnsen-MY-35	ITS-Behnsen-MY-36	ITS-Behnsen-MY-37	ITS-Behnsen-MY-38	ITS-Behnsen-MY-39	ITS-Behnsen-MY-4	ITS-Behnsen-MY-40	ITS-Behnsen-MY-41	ITS-Behnsen-MY-42	ITS-Behnsen-MY-43	ITS-Behnsen-MY-44	ITS-Behnsen-MY-45	ITS-Behnsen-MY-46	ITS-Behnsen-MY-47	ITS-Behnsen-MY-48	ITS-Behnsen-MY-49	ITS-Behnsen-MY-5	ITS-Behnsen-MY-50	ITS-Behnsen-MY-51	ITS-Behnsen-MY-52	ITS-Behnsen-MY-53	ITS-Behnsen-MY-54	ITS-Behnsen-MY-55	ITS-Behnsen-MY-56	ITS-Behnsen-MY-57	ITS-Behnsen-MY-58	ITS-Behnsen-MY-59	ITS-Behnsen-MY-6	ITS-Behnsen-MY-60	ITS-Behnsen-MY-61	ITS-Behnsen-MY-62	ITS-Behnsen-MY-63	ITS-Behnsen-MY-64	ITS-Behnsen-MY-65	ITS-Behnsen-MY-66	ITS-Behnsen-MY-67	ITS-Behnsen-MY-68	ITS-Behnsen-MY-69	ITS-Behnsen-MY-7	ITS-Behnsen-MY-8	ITS-Behnsen-MY-9	ITS-Negative-Control-sample2	ITS-Negative-Ctrl-2-Underhill	ITS-Positive-Ctrl-2-Underhill
ASV 195	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Aspergillaceae ; g__Aspergillus ; s__penicillioides	345	0	0	0	0	0	0	0	0	1	212	195	114	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	984	0	0	0	0	0
ASV 196	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	1506	2	423	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV 197	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	117	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	437	0	0	0	0	0	0	0	0	0	0	0	1209	0	0	0	0	188	0	0	0	0	0	0	0	0
ASV 198	k__Fungi ; p__Basidiomycota ; c__Microbotryomycetes ; o__Sporidiobolales ; f__Sporidiobolaceae ; g__Sporobolomyces ; s__ruberrimus	471	0	388	0	0	0	0	0	0	0	1	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	728	0	0	0	0	0	0	0	0	0
ASV 199	k__Fungi ; p__Rozellomycota ; p__Rozellomycota ; p__Rozellomycota ; p__Rozellomycota ; p__Rozellomycota ; p__Rozellomycota 	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	194	0	1	0	0	0	0	0	0	0	0	2	0	47	1	0	0	0	0	0	0	0	0	0	0	0	1027	0	352	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 200	k__Fungi ; p__Ascomycota ; c__Dothideomycetes ; o__Pleosporales ; f__Pleosporaceae ; g__Alternaria ; s__infectoria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	72	0	0	0	0	0	0	0	0	697	0	0	0	1086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0
ASV 201	k__Fungi ; p__Ascomycota ; c__Dothideomycetes ; o__Pleosporales ; f__Didymellaceae ; g__Didymella ; s__glomerata	0	1904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 202	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	912	0	0	1	0	0	0	0	0	0	530	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 203	k__Fungi ; p__Ascomycota ; c__Leotiomycetes ; o__Helotiales ; f__Myxotrichaceae ; f__Myxotrichaceae ; NA	0	0	0	0	0	0	0	0	0	0	0	711	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	702	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 204	k__Fungi ; p__Ascomycota ; c__Sordariomycetes ; o__Hypocreales ; f__Clavicipitaceae ; g__Paecilomyces ; s__formosa	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1046	0	0	0	0	628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 205	k__Fungi ; p__Mucoromycota ; c__Mucoromycetes ; o__Mucorales ; f__Mucoraceae ; g__Mucor ; s__circinelloides	0	2	12	0	0	0	0	0	139	93	64	7	809	447	0	0	0	0	0	0	0	0	5	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	73	10	28	0	0	0
ASV 206	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Aspergillaceae ; g__Aspergillus ; s__versicolor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 207	k__Fungi ; p__Basidiomycota ; c__Agaricomycetes ; o__Polyporales ; f__Steccherinaceae ; g__Fibricium ; s__subceraceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1834	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 208	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Aspergillaceae ; g__Penicillium ; s__simplicissimum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1563	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 209	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Aspergillaceae ; g__Aspergillus ; s__versicolor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	547	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	928	0	0	0	0	0	0	0	0
ASV 210	k__Fungi ; p__Basidiomycota ; c__Tremellomycetes ; o__Filobasidiales ; f__Filobasidiaceae ; g__Naganishia ; s__albida	0	0	5	0	0	0	0	0	0	0	617	0	3	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1005	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28	0	0	0	0
ASV 211	k__Fungi ; p__Ascomycota ; c__Dothideomycetes ; o__Pleosporales ; f__Didymellaceae ; g__Epicoccum ; s__plurivorum	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1818	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV 212	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	463	0	0	0	1	0	1146	0	1	0	0	0	201	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV 213	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Trichocomaceae ; g__Thermomyces ; s__lanuginosus	0	0	0	0	0	0	0	0	0	0	363	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 214	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	0	646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	192	0	39	0	895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 215	k__Fungi ; p__Ascomycota ; c__Dothideomycetes ; o__Dothideales ; f__Aureobasidiaceae ; g__Aureobasidium ; s__pullulans	0	0	0	0	0	0	0	0	0	187	0	0	0	324	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	1	2	0	49	0	0	0	0	0	0	0	0	0	0	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 216	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	1734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ASV 217	k__Fungi ; p__Basidiomycota ; c__Agaricostilbomycetes ; o__Agaricostilbales ; f__Agaricostilbaceae ; g__Sterigmatomyces ; s__halophilus	0	0	0	0	0	1730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 218	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	26	3	2	0	0	0	1	0	64	137	102	0	497	3	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	95	1	0	0	0	0
ASV 219	k__Fungi ; p__Basidiomycota ; c__Agaricomycetes ; o__Polyporales ; f__Meruliaceae ; g__Hyphodermella ; s__rosae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1717	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 220	k__Fungi ; p__Basidiomycota ; c__Tremellomycetes ; o__Holtermanniales ; f__Holtermanniales_fam_Incertae_sedis ; g__Holtermanniella ; s__wattica	0	0	0	0	0	0	0	0	0	0	0	0	0	1715	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 221	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	339	1	23	0	0	0	0	0	0	0	0	0	0	0
ASV 222	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1701	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 223	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Aspergillaceae ; g__Aspergillus ; s__purpureus	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1703	0	0	0	0
ASV 224	k__Fungi ; p__Chytridiomycota ; c__Rhizophydiomycetes ; o__Rhizophydiales ; f__Aquamycetaceae ; g__Aquamyces ; s__chlorogonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1685	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 225	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Aspergillaceae ; g__Aspergillus ; s__flavus	174	0	0	0	0	0	0	0	2	254	1	0	309	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	722	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	221	0	1	0	0	0
ASV 226	k__Fungi ; p__Basidiomycota ; c__Agaricomycetes ; o__Agaricales ; f__Psathyrellaceae ; g__Psathyrella ; s__boreifasciculata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 227	k__Fungi ; p__Ascomycota ; c__Dothideomycetes ; o__Capnodiales ; f__Cladosporiaceae ; g__Cladosporium ; s__cladosporioides	276	493	71	0	0	0	4	0	2	0	56	253	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	206	0	0	1	0	0	0	0	0	0	16	164	2	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0
ASV 228	k__Fungi ; p__Basidiomycota ; c__Exobasidiomycetes ; o__Entylomatales ; f__Entylomatales_fam_Incertae_sedis ; g__Tilletiopsis ; s__washingtonensis	83	0	0	0	0	0	0	0	0	614	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	1	0	0	469	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 229	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 230	k__Fungi ; p__Chytridiomycota ; c__Rhizophydiomycetes ; o__Rhizophydiales ; f__Aquamycetaceae ; g__Aquamyces ; s__chlorogonii	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	749	0	0	0	0	0	1	0	894	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 231	k__Fungi ; p__Ascomycota ; c__Sordariomycetes ; o__Microascales ; f__Microascaceae ; g__Microascus ; s__cirrosus	0	0	0	0	0	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1082	0	0	0	0
ASV 232	k__Fungi ; p__Basidiomycota ; c__Agaricomycetes ; o__Hymenochaetales ; f__Schizoporaceae ; g__Xylodon ; s__sambuci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1625	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 233	k__Fungi ; p__Ascomycota ; c__Sordariomycetes ; o__Hypocreales ; o__Hypocreales ; o__Hypocreales ; o__Hypocreales 	618	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	629	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 234	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Aspergillaceae ; g__Xeromyces ; s__bisporus	0	0	0	0	0	0	0	0	0	0	1597	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 235	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Chaetothyriales ; f__Trichomeriaceae ; g__Trichomerium ; s__foliicola	0	0	1	0	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 236	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 237	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1595	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 238	k__Fungi ; p__Basidiomycota ; c__Agaricomycetes ; o__Agaricales ; f__Schizophyllaceae ; g__Schizophyllum ; s__amplum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1576	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 239	k__Fungi ; p__Ascomycota ; c__Sordariomycetes ; o__Hypocreales ; f__Nectriaceae ; g__Fusarium ; s__solani	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	473	0	0	1095	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 240	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Chaetothyriales ; f__Herpotrichiellaceae ; g__Phialophora ; s__livistonae	0	0	0	0	1569	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 241	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	537	0	0	0	0	0	0	0	0	0	0	0	0	0	1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 242	k__Fungi ; p__Ascomycota ; c__Dothideomycetes ; o__Capnodiales ; f__Cladosporiaceae ; g__Cladosporium ; s__cladosporioides	0	0	0	0	0	0	1299	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0
ASV 243	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	4	184	7	0	0	0	0	0	0	10	0	0	123	0	1	0	0	0	0	0	1	0	20	0	0	0	0	0	0	0	0	0	0	882	0	0	0	0	0	0	0	0	163	9	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
ASV 244	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV 245	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	626	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0
ASV 246	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1513	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 247	k__Fungi ; p__Basidiomycota ; c__Agaricomycetes ; o__Agaricales ; f__Tricholomataceae ; g__Hemimycena ; s__pseudolactea	0	0	0	1	0	1	1507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV 248	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	1449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 249	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 250	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	2	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1438	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV 251	k__Fungi ; p__Ascomycota ; c__Dothideomycetes ; o__Capnodiales ; f__Cladosporiaceae ; g__Cladosporium ; NA	102	465	0	0	0	0	0	0	28	0	99	638	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	160	1	0	0	0	0
ASV 252	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 253	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 254	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 255	k__Fungi ; NA ; NA ; NA ; NA ; NA ; NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1454	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 256	k__Fungi ; p__Ascomycota ; c__Eurotiomycetes ; o__Eurotiales ; f__Thermoascaceae ; g__Thermoascus ; s__crustaceus	61	0	362	0	1	0	0	0	799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0
